"Notes"	"Year Diagnosed"	"Year Diagnosed Code"	"Location"	"Location Code"	"Age at Diagnosis"	"Age at Diagnosis Code"	"HIV Exposure Category"	"HIV Exposure Category Code"	"Sex and Sexual Orientation"	"Sex and Sexual Orientation Code"	Cases
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"Less than 1 Year"	"0"	"Mother with HIV, or HIV risk"	"10"	"Female (any)"	"4"	9
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"Less than 1 Year"	"0"	"Mother with HIV, or HIV risk"	"10"	"Male (heterosexual or pediatric)"	"3"	5
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"Less than 1 Year"	"0"	"Pediatric risk not reported or identified"	"12"	"Male (heterosexual or pediatric)"	"3"	1
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"1 - 12 Years"	"1"	"Mother with HIV, or HIV risk"	"10"	"Female (any)"	"4"	48
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"1 - 12 Years"	"1"	"Mother with HIV, or HIV risk"	"10"	"Male (heterosexual or pediatric)"	"3"	41
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"1 - 12 Years"	"1"	"Pediatric risk not reported or identified"	"12"	"Female (any)"	"4"	3
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"1 - 12 Years"	"1"	"Pediatric risk not reported or identified"	"12"	"Male (heterosexual or pediatric)"	"3"	4
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"13 - 19 Years"	"2"	"IV drug use (female and hetero male)"	"02"	"Female (any)"	"4"	1
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"13 - 19 Years"	"2"	"Male homosexual/bisexual contact"	"01"	"Male (homosexual)  or Unknown Classification"	"1"	1
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"13 - 19 Years"	"2"	"Risk not reported or identified"	"08"	"Female (any)"	"4"	1
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"13 - 19 Years"	"2"	"Risk not reported or identified"	"08"	"Male (heterosexual or pediatric)"	"3"	1
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"20 - 24 Years"	"3"	"Hemophilia/coagulation disorder"	"04"	"Male (heterosexual or pediatric)"	"3"	2
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"20 - 24 Years"	"3"	"Heterosexual contact with HIV"	"05"	"Female (any)"	"4"	13
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"20 - 24 Years"	"3"	"IV drug use (female and hetero male)"	"02"	"Female (any)"	"4"	1
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"20 - 24 Years"	"3"	"IV drug use (female and hetero male)"	"02"	"Male (heterosexual or pediatric)"	"3"	4
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"20 - 24 Years"	"3"	"Male homo/bisexual and IV drug use"	"03"	"Male (homosexual)  or Unknown Classification"	"1"	2
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"20 - 24 Years"	"3"	"Male homosexual/bisexual contact"	"01"	"Male (homosexual)  or Unknown Classification"	"1"	1
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"20 - 24 Years"	"3"	"Risk not reported or identified"	"08"	"Female (any)"	"4"	3
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"20 - 24 Years"	"3"	"Risk not reported or identified"	"08"	"Male (heterosexual or pediatric)"	"3"	7
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"25 - 29 Years"	"4"	"Heterosexual contact with HIV"	"05"	"Female (any)"	"4"	14
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"25 - 29 Years"	"4"	"Heterosexual contact with HIV"	"05"	"Male (heterosexual or pediatric)"	"3"	1
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"25 - 29 Years"	"4"	"IV drug use (female and hetero male)"	"02"	"Female (any)"	"4"	13
	"1997"	"1997"	"Northeast, pediatric or not in MSA"	"AIDS6"	"25 - 29 Years"	"4"	"IV drug use (female and hetero male)"	"02"	"Male (heterosexual or pediatric)"	"3"	18
